"","V1"
"2874",0
"2875",0
"2876",0
"2877",0
"2878",0
"2879",0
"2880",0
"2881",0
"2882",0
"2883",0
"2884",0
"2885",0
"2886",0
"2887",0
"2888",0
"2889",0
"2890",0
"2891",0
"2892",0
"2893",0
"2894",0
"2895",0
"2896",0
"2897",0
"2898",0
"2899",0
"2900",0
"2901",0
"2902",0
"2903",0
"2904",0
"2905",0
"2906",0
"2907",0
"2908",0
"2909",0
"2910",0
"2911",0
"2912",0
"2913",0
"2914",0
"2915",0
"2916",0
"2917",0
"2918",0
"2919",0
"2920",0
"2921",0
"2922",0
"2923",0
"2924",0
"2925",0
"2926",0
"2927",0
"2928",0
"2929",0
"2930",0
"2931",0
"2932",0
"2933",0
"2934",0
"2935",0
"2936",0
"2937",0
"2938",0
"2939",0
"2940",0
"2941",0
"2942",0
"2943",0
"2944",0
"2945",0
"2946",0
"2947",0
"2948",0
"2949",0
"2950",0
"2951",0
"2952",0
"2953",0
"2954",0
"2955",0
"2956",0
"2957",0
"2958",0
"2959",0
"2960",0
"2961",0
"2962",0
"2963",0
"2964",0
"2965",0
"2966",0
"2967",0
"2968",0
"2969",0
"2970",0
"2971",0
"2972",0
"2973",0
"2974",0
"2975",0
"2976",0
"2977",0
"2978",0
"2979",0
"2980",0
"2981",0
"2982",0
"2983",0
"2984",0
"2985",0
"2986",0
"2987",0
"2988",0
"2989",0
"2990",0
"2991",0
"2992",0
"2993",0
"2994",0
"2995",0
"2996",0
"2997",0
"2998",0
"2999",0
"3000",0
"3001",0
"3002",0
"3003",0
"3004",0
"3005",0
"3006",0
"3007",0
"3008",0
"3009",0
"3010",0
"3011",0
"3012",0
"3013",0
"3014",0
"3015",0
"3016",0
"3017",0
"3018",0
"3019",0
"3020",0
"3021",0
"3022",0
"3023",0
"3024",0
"3025",0
"3026",0
"3027",0
"3028",0
"3029",0
"3030",0
"3031",0
"3032",0
"3033",0
"3034",0
"3035",0
"3036",0
"3037",0
"3038",0
"3039",0
"3040",0
"3041",0
"3042",0
"3043",0
"3044",0
"3045",0
"3046",0
"3047",0
"3048",0
"3049",0
"3050",0
"3051",0
"3052",0
"3053",0
"3054",0
"3055",0
"3056",0
"3057",0
"3058",0
"3059",0
"3060",0
"3061",0
"3062",0
"3063",0
"3064",0
"3065",0
"3066",0
"3067",0
"3068",0
"3069",0
"3070",0
"3071",0
"3072",0
"3073",0
"3074",0
"3075",0
"3076",0
"3077",0
"3078",0
"3079",0
"3080",0
"3081",0
"3082",0
"3083",0
"3084",0
"3085",0
"3086",0
"3087",0
"3088",0
"3089",0
"3090",0
"3091",0
"3092",0
"3093",0
"3094",0
"3095",0
"3096",0
"3097",0
"3098",0
"3099",0
"3100",0
"3101",0
"3102",0
"3103",0
"3104",0
"3105",0
"3106",0
"3107",0
"3108",0
"3109",0
"3110",0
"3111",0
"3112",0
"3113",0
"3114",0
"3115",0
"3116",0
"3117",0
"3118",0
"3119",0
"3120",0
"3121",0
"3122",0
"3123",0
"3124",0
"3125",0
"3126",0
"3127",0
"3128",0
"3129",0
"3130",0
"3131",0
"3132",0
"3133",0
"3134",0
"3135",0
"3136",0
"3137",0
"3138",0
"3139",0
"3140",0
"3141",0
"3142",0
"3143",0
"3144",0
"3145",0
"3146",0
"3147",0
"3148",0
"3149",0
"3150",0
"3151",0
"3152",0
"3153",0
"3154",0
"3155",0
"3156",0
"3157",0
"3158",0
"3159",0
"3160",0
"3161",0
"3162",0
"3163",0
"3164",0
"3165",0
"3166",0
"3167",0
"3168",0
"3169",0
"3170",0
"3171",0
"3172",0
"3173",0
"3174",0
"3175",0
"3176",0
"3177",0
"3178",0
"3179",0
"3180",0
"3181",0
"3182",0
"3183",0
"3184",0
"3185",0
"3186",0
"3187",0
"3188",0
"3189",0
"3190",0
"3191",0
"3192",0
"3193",0
"3194",0
"3195",0
"3196",0
"3197",0
"3198",0
"3199",0
"3200",0
"3201",0
"3202",0
"3203",0
"3204",0
"3205",0
"3206",0
"3207",0
"3208",0
"3209",0
"3210",0
"3211",0
"3212",0
"3213",0
"3214",0
"3215",0
"3216",0
"3217",0
"3218",0
"3219",0
"3220",0
"3221",0
"3222",0
"3223",0
"3224",0
"3225",0
"3226",0
"3227",0
"3228",0
"3229",0
"3230",0
"3231",0
"3232",0
"3233",0
"3234",0
"3235",0
"3236",0
"3237",0
"3238",0
"3239",0
"3240",0
"3241",0
"3242",0
"3243",0
"3244",0
"3245",0
"3246",0
"3247",0
"3248",0
"3249",0
"3250",0
"3251",0
"3252",0
"3253",0
"3254",0
"3255",0
"3256",0
"3257",0
"3258",0
"3259",0
"3260",0
"3261",0
"3262",0
"3263",0
"3264",0
"3265",0
"3266",0
"3267",0
"3268",0
"3269",0
"3270",0
"3271",0
"3272",0
"3273",0
"3274",0
"3275",0
"3276",0
"3277",0
"3278",0
"3279",0
"3280",0
"3281",0
"3282",0
"3283",0
"3284",0
"3285",0
"3286",0
"3287",0
"3288",0
"3289",0
"3290",0
"3291",0
"3292",0
"3293",0
"3294",0
"3295",0
"3296",0
"3297",0
"3298",0
"3299",0
"3300",0
"3301",0
"3302",0
"3303",0
"3304",0
"3305",0
"3306",0
"3307",0
"3308",0
"3309",0
"3310",0
"3311",0
"3312",0
"3313",0
"3314",0
"3315",0
"3316",0
"3317",0
"3318",0
"3319",0
"3320",0
"3321",0
"3322",0
"3323",0
"3324",0
"3325",0
"3326",0
"3327",0
"3328",0
"3329",0
"3330",0
"3331",0
"3332",0
"3333",0
"3334",0
"3335",0
"3336",0
"3337",0
"3338",0
"3339",0
"3340",0
"3341",0
"3342",0
"3343",0
"3344",0
"3345",0
"3346",0
"3347",0
"3348",0
"3349",0
"3350",0
"3351",0
"3352",0
"3353",0
"3354",0
"3355",0
"3356",0
"3357",0
"3358",0
"3359",0
"3360",0
"3361",0
"3362",0
"3363",0
"3364",0
"3365",0
"3366",0
"3367",0
"3368",0
"3369",0
"3370",0
"3371",0
"3372",0
"3373",0
"3374",0.423269326747652
"3375",0.614450413258153
"3376",0.18002264050509
"3377",0.922709584901317
"3378",0.919874693039542
"3379",0.979922560846623
"3380",0.804213114154519
"3381",1.11102812219252
"3382",0.961302713398001
"3383",0.907091338296034
"3384",1.08339601416168
"3385",0.402568927152635
"3386",0.451935697375381
"3387",0.783336755476703
"3388",0.679351171619323
"3389",0.69114255462805
"3390",1.12172038376737
"3391",0.838633512372938
"3392",0.72711527544349
"3393",0.454749714894486
"3394",0.784474430552958
"3395",0.743879612881393
"3396",0.840819620654635
"3397",0.701062917323481
"3398",0.526385332235306
"3399",0.817085595831236
"3400",0.596468820618078
"3401",0.569876115819743
"3402",0.70183467464415
"3403",0.336834384819842
"3404",0.375076660595871
"3405",0.294613750636997
"3406",0.370721892268973
"3407",0.378580009414603
"3408",0.345620757561583
"3409",0.2250003677734
"3410",0.277716832049989
"3411",0.460950485299875
"3412",0.449970051689638
"3413",0.260314283642266
"3414",0.489686220526481
"3415",0.606424381886616
"3416",0.627163598746488
"3417",0.388265194215711
"3418",0.341071671938619
"3419",0.343819847384117
"3420",0.300517733925192
"3421",0.167546871100739
"3422",0.28307726130188
"3423",0.317375806668136
"3424",0.259808769018603
"3425",0.219621515821758
"3426",0.111832285424884
"3427",0.663063043741211
"3428",0.608456361267181
"3429",0.443031132038323
"3430",0.475544927606399
"3431",0
"3432",0
"3433",0
"3434",0
"3435",0
"3436",0
"3437",0
"3438",0
"3439",0
"3440",0
"3441",0
"3442",0
"3443",0
"3444",0
"3445",0
"3446",0
"3447",0
"3448",0
"3449",0
"3450",0
"3451",0
"3452",0
"3453",0
"3454",0
"3455",0
"3456",0
"3457",0
"3458",0
"3459",0
"3460",0
"3461",0
"3462",0
"3463",0
"3464",0
"3465",0
"3466",0
"3467",0
"3468",0
"3469",0
"3470",0
"3471",0
"3472",0
"3473",0
"3474",0
"3475",0
"3476",0
"3477",0
"3478",0
"3479",0
"3480",0
"3481",0
"3482",0
"3483",0
"3484",0
"3485",0
"3486",0
"3487",0
"3488",0
"3489",0
"3490",0
"3491",0
"3492",0
"3493",0
"3494",0
"3495",0
"3496",0
"3497",0
"3498",0
"3499",0
"3500",0
"3501",0
"3502",0
"3503",0
"3504",0
"3505",0
"3506",0
"3507",0
"3508",0
"3509",0
"3510",0
"3511",0
"3512",0
"3513",0
"3514",0
"3515",0
"3516",0
"3517",0
"3518",0
"3519",0
"3520",0
"3521",0
"3522",0
"3523",0
"3524",0
"3525",0
"3526",0
"3527",0
"3528",0
"3529",0
"3530",0
"3531",0
"3532",0
"3533",0
"3534",0
"3535",0
"3536",0
"3537",0
"3538",0
"3539",0
"3540",0
"3541",0
"3542",0
"3543",0
"3544",0
"3545",0
"3546",0
"3547",0
"3548",0
"3549",0
"3550",0
"3551",0
"3552",0
"3553",0
"3554",0
"3555",0
"3556",0
"3557",0
"3558",0
"3559",0
"3560",0
"3561",0
"3562",0
"3563",0
"3564",0
"3565",0
"3566",0
"3567",0
"3568",0
"3569",0
"3570",0
"3571",0
"3572",0
"3573",0
"3574",0
"3575",0
"3576",0
"3577",0
"3578",0
"3579",0
"3580",0
"3581",0
"3582",0
"3583",0
"3584",0
"3585",0
"3586",0
"3587",0
"3588",0
"3589",0
"3590",0
"3591",0
"3592",0
"3593",0
"3594",0
"3595",0
"3596",0
"3597",0
"3598",0
"3599",0
"3600",0
"3601",0
"3602",0
"3603",0
"3604",0
"3605",0
"3606",0
"3607",0
"3608",0
"3609",0
"3610",0
"3611",0
"3612",0
"3613",0
"3614",0
"3615",0
"3616",0
"3617",0
"3618",0
"3619",0
"3620",0
"3621",0
"3622",0
"3623",0
"3624",0
"3625",0
"3626",0
"3627",0
"3628",0
"3629",0
"3630",0
"3631",0
"3632",0
"3633",0
"3634",0
"3635",0
"3636",0
"3637",0
"3638",0
"3639",0
"3640",0
"3641",0
"3642",0
"3643",0
"3644",0
"3645",0
"3646",0
"3647",0
"3648",0
"3649",0
"3650",0
"3651",0
"3652",0
"3653",0
"3654",0
"3655",0
"3656",0
"3657",0
"3658",0
"3659",0
"3660",0
"3661",0
"3662",0
"3663",0
"3664",0
"3665",0
"3666",0
"3667",0
"3668",0
"3669",0
"3670",0
"3671",0
"3672",0
"3673",0
"3674",0
"3675",0
"3676",0
"3677",0
"3678",0
"3679",0
"3680",0
"3681",0
"3682",0
"3683",0
"3684",0
"3685",0
"3686",0
"3687",0
"3688",0
"3689",0
"3690",0
"3691",0
"3692",0
"3693",0
"3694",0
"3695",0
"3696",0
"3697",0
"3698",0
"3699",0
"3700",0
"3701",0
"3702",0
"3703",0
"3704",0
"3705",0
"3706",0
"3707",0
"3708",0
"3709",0
"3710",0
"3711",0
"3712",0
"3713",0
"3714",0
"3715",0
"3716",0
"3717",0
"3718",0
"3719",0
"3720",0
"3721",0
"3722",0
"3723",0
"3724",0
"3725",0
"3726",0
"3727",0
"3728",0
"3729",0
"3730",0
"3731",0
"3732",0
"3733",0
"3734",0
"3735",0
"3736",0
"3737",0
"3738",0
"3739",0
"3740",0
"3741",0
"3742",0
"3743",0
"3744",0
"3745",0
"3746",0
"3747",0
"3748",0
"3749",0
"3750",0
"3751",0
"3752",0
"3753",0
"3754",0
"3755",0
"3756",0
"3757",0
"3758",0
"3759",0
"3760",0
"3761",0
"3762",0
"3763",0
"3764",0
"3765",0
"3766",0
"3767",0
"3768",0
"3769",0
"3770",0
"3771",0
"3772",0
"3773",0
"3774",0
"3775",0
"3776",0
"3777",0
"3778",0
"3779",0
"3780",0
"3781",0
"3782",0
"3783",0
"3784",0
"3785",0
"3786",0
"3787",0
"3788",0
"3789",0
"3790",0
"3791",0
"3792",0
"3793",0
"3794",0
"3795",0
"3796",0
"3797",0
"3798",0
"3799",0
"3800",0
"3801",0
"3802",0
"3803",0
"3804",0
"3805",0
"3806",0
"3807",0
"3808",0
"3809",0
"3810",0
"3811",0
"3812",0
"3813",0
"3814",0
"3815",0
"3816",0
"3817",0
"3818",0
"3819",0
"3820",0
"3821",0
"3822",0
"3823",0
"3824",0
"3825",0
"3826",0
"3827",0
"3828",0
"3829",0
"3830",0
"3831",0
"3832",0
"3833",0
"3834",0
"3835",0
"3836",0
"3837",0
"3838",0
"3839",0
"3840",0
"3841",0
"3842",0
"3843",0
"3844",0
"3845",0
"3846",0
"3847",0
"3848",0
"3849",0
"3850",0
"3851",0
"3852",0
"3853",0
"3854",0
"3855",0
"3856",0
"3857",0
"3858",0
"3859",0
"3860",0
"3861",0
"3862",0
"3863",0
"3864",0
"3865",0
"3866",0
"3867",0
"3868",0
"3869",0
"3870",0
"3871",0
"3872",0
"3873",0
"3874",0
"3875",0
"3876",0
"3877",0
"3878",0
"3879",0
"3880",0
"3881",0
"3882",0
"3883",0
"3884",0
"3885",0
"3886",0
"3887",0
"3888",0
"3889",0
"3890",0
"3891",0
"3892",0
"3893",0
"3894",0
"3895",0
"3896",0
"3897",0
"3898",0.456591546452159
"3899",0.559845694568006
"3900",0.55828570871625
"3901",0.630862960634834
"3902",0.567399035297313
"3903",0.586255560967686
"3904",0.579613629658597
"3905",0.353589393243743
"3906",0.403944704834452
"3907",0.426682337284561
"3908",0.307285926434187
"3909",0.491650506766299
"3910",0.342797364010428
"3911",0.330612615984028
"3912",0.463449198159799
"3913",0.137347936743831
"3914",0.206432087329726
"3915",0.275367030648798
"3916",0.247607826256304
"3917",0.244334689936139
"3918",0.222218068342654
"3919",0.47164992392942
"3920",0.3202588669605
"3921",0.450329346470551
"3922",0.261611290271385
"3923",0.338545831382429
"3924",0.341978532195687
"3925",0.343151127646231
"3926",0.534766891999477
"3927",0.314234119624283
"3928",0.290218943008026
"3929",0.267697533485923
"3930",0.289132123952394
"3931",0.32220715322219
"3932",0.317654060768863
"3933",0.345493951862817
"3934",0.324526942606821
"3935",0.280552699090125
"3936",0.340705676573638
"3937",0.281849624181438
"3938",0.291334644364056
"3939",0.117247760936875
"3940",0.152629511266758
"3941",0.175551773254064
"3942",0.359777320754423
"3943",0.254050848107084
"3944",0.233712056516721
"3945",0.286601041292287
"3946",0.302166053466264
"3947",0.292420313475453
"3948",0.199433421266101
"3949",0.637737032280412
"3950",0.104990181843366
"3951",0.349183911194015
"3952",0.334555467675744
"3953",0.264314896514678
"3954",0.322115337630808
"3955",0.30441934975467
"3956",0.342555824049701
"3957",0.456902207948681
"3958",0.260890831250542
"3959",0.369926122766126
"3960",0.425022192363312
"3961",0.395020105875807
"3962",0.3665420512904
"3963",0.311305907813916
"3964",0.391507327137907
"3965",0.255795411221304
"3966",0.373231971532582
"3967",0.413807217513597
"3968",0.44793222812538
"3969",0.343961551502119
"3970",0.258019537629457
"3971",0.328136677106028
"3972",0.339891222941729
"3973",0.28852876624653
"3974",0.24321061446757
"3975",0.245739177956812
"3976",0.248842620877131
"3977",0.249545711648497
"3978",0.408898170646533
"3979",0.25626862701381
"3980",0.378990773240099
"3981",0.206927137422323
"3982",0.128615262361811
"3983",0.244260788846178
"3984",0.133744939943794
"3985",0.169885597141179
"3986",0.120169873215639
"3987",0.437703304203405
"3988",0.0896282871815179
"3989",0.440518230828335
"3990",0.149545956671759
"3991",0.139027937602547
"3992",0.124960362240695
"3993",0.325286314110201
"3994",0.346966470998736
"3995",0.327921830703556
"3996",0.32027004021658
"3997",0.364016774604302
"3998",0.434288482935698
"3999",0.192536132029169
"4000",0.47284803986477
"4001",0.249263331185963
"4002",0.252980092845097
"4003",0.412049927201259
"4004",0.443069820014122
"4005",0.320372505511638
"4006",0.288538749709449
"4007",0.266902618626468
"4008",0.401446711504979
"4009",0.293358735924501
"4010",0.267630653094502
"4011",0.228361538280982
"4012",0.261373098446527
"4013",0.2597394963922
"4014",0.224570380244859
"4015",0.19836651468578
"4016",0.252503799638323
"4017",0.332607807087375
"4018",0.151203843864206
"4019",0.203681966385938
"4020",0.267093649170102
"4021",0.267139788220783
"4022",0.313143818718085
"4023",0.0940918530405807
"4024",0.090498757318236
"4025",0.096258684032134
"4026",0.125817805772026
"4027",0.321740516209931
"4028",0.258943428416369
"4029",0.288503177050017
"4030",0.322221087701319
"4031",0.40037956937308
"4032",0.0948819559674489
"4033",0.254598961406582
"4034",0.0792083626999124
"4035",0.285017362625106
"4036",0.107312915848135
"4037",0.207807829015052
"4038",0.199175980089865
"4039",0.314877420522259
"4040",0.24296276082335
"4041",0.100563236365502
"4042",0.0821278860829619
"4043",0.222535389206619
"4044",0.0950109302502887
"4045",0.0117361816832569
"4046",0.068225428035517
"4047",0.215739786154853
"4048",0.113246107583591
"4049",0.121553221970653
"4050",0.127803519841363
"4051",0.232318404763979
"4052",0.137745433961738
"4053",0.028579816158563
"4054",0.373839624938017
"4055",0.268079065252628
"4056",0.404364965279387
"4057",0.307349083129959
"4058",0.381670398695095
"4059",0.103039110753589
"4060",0.100221449040484
"4061",0.104022119401977
"4062",0.460344120570316
"4063",0.37479941278894
"4064",0.428556615850303
"4065",0.10888202048507
"4066",0.0992730459279219
"4067",0.0956214359561302
"4068",0.0822279918295166
"4069",0.120662125911005
"4070",0.201192009609807
"4071",0.14896119346911
"4072",0.332198460112788
"4073",0.290586156405199
"4074",0.0656700624352027
"4075",0.227576798517088
"4076",0.211523888936711
"4077",0.207846511267411
"4078",0.203284458924458
"4079",0.124618708948978
"4080",0.152129786151904
